traffic_type,protocol,duration,packet_count,avg_packet_size,bytes_per_sec,flag,label
Database,TCP,0.46,162,77,27117.39,SYN,Normal
Database,UDP,5.79,55,477,4531.09,PSH,Normal
Video,ICMP,3.55,31,265,2314.08,PSH,Normal
File Transfer,ICMP,0.65,101,323,50189.23,URG,Anomaly
Messaging,UDP,1.66,65,855,33478.92,URG,Normal
Web,UDP,0.49,39,1255,99887.76,FIN,Anomaly
Messaging,UDP,1.56,21,1235,16625.0,SYN,Normal
File Transfer,UDP,4.23,50,1436,16974.0,RST,Normal
Database,UDP,3.22,128,1100,43726.71,SYN,Encrypted
Messaging,TCP,3.95,50,220,2784.81,RST,Anomaly
File Transfer,UDP,1.27,192,1032,156018.9,RST,Normal
Web,UDP,0.12,164,1224,1672800.0,PSH,Normal
File Transfer,ICMP,0.57,132,57,13200.0,RST,Encrypted
Web,UDP,1.22,58,609,28952.46,ACK,Anomaly
Messaging,UDP,3.99,178,665,29666.67,FIN,Malware
File Transfer,TCP,1.43,90,1001,63000.0,FIN,Normal
Messaging,UDP,0.44,134,824,250945.45,RST,Malware
Video,TCP,2.83,141,285,14199.65,SYN,Encrypted
Database,UDP,0.67,174,798,207241.79,ACK,Normal
Messaging,ICMP,0.82,54,960,63219.51,ACK,Normal
Video,UDP,1.42,64,942,42456.34,ACK,Normal
Video,TCP,1.04,177,59,10041.35,RST,Anomaly
Web,TCP,1.57,148,693,65327.39,RST,Normal
Video,TCP,3.31,147,1155,51294.56,PSH,Anomaly
Database,UDP,1.3,36,766,21212.31,FIN,Anomaly
Web,TCP,1.67,55,614,20221.56,FIN,Normal
Messaging,ICMP,6.01,154,353,9045.26,PSH,Normal
File Transfer,UDP,2.95,53,721,12953.56,SYN,Anomaly
Web,TCP,2.59,58,1042,23334.36,SYN,Malware
Web,ICMP,0.2,12,1116,66960.0,FIN,Normal
Video,TCP,0.48,112,44,10266.67,PSH,Malware
File Transfer,TCP,0.92,10,916,9956.52,RST,Malware
Messaging,UDP,0.32,98,86,26337.5,SYN,Normal
Messaging,TCP,1.8,172,695,66411.11,URG,Normal
Video,ICMP,5.59,128,1169,26767.8,ACK,Normal
File Transfer,TCP,0.59,149,159,40154.24,ACK,Normal
Video,UDP,0.47,96,1121,228970.21,URG,Normal
Messaging,UDP,0.12,121,830,836916.67,SYN,Malware
Database,TCP,0.84,144,1052,180342.86,PSH,Anomaly
Messaging,ICMP,0.09,126,552,772800.0,RST,Normal
Video,UDP,0.88,100,1181,134204.55,PSH,Normal
Messaging,ICMP,1.88,121,936,60242.55,PSH,Malware
Video,ICMP,4.65,196,620,26133.33,RST,Normal
Database,UDP,1.42,199,1139,159620.42,FIN,Normal
Messaging,UDP,1.25,183,1036,151670.4,SYN,Normal
Database,UDP,0.19,33,1283,222836.84,SYN,Malware
Messaging,UDP,0.07,98,997,1395800.0,PSH,Anomaly
File Transfer,TCP,1.82,148,257,20898.9,ACK,Normal
File Transfer,ICMP,2.16,89,590,24310.19,RST,Normal
Video,ICMP,0.64,105,62,10171.88,ACK,Normal
Video,TCP,0.07,73,1163,1212842.86,URG,Normal
Video,ICMP,0.07,142,801,1624885.71,FIN,Malware
Database,ICMP,4.06,100,808,19901.48,SYN,Anomaly
Database,TCP,1.16,8,1079,7441.38,RST,Anomaly
Database,UDP,0.11,6,536,29236.36,RST,Normal
Video,UDP,3.03,164,891,48225.74,URG,Normal
File Transfer,TCP,1.29,182,419,59114.73,ACK,Normal
File Transfer,TCP,0.21,193,730,670904.76,URG,Normal
Database,ICMP,2.58,16,1480,9178.29,SYN,Normal
Database,ICMP,1.58,47,324,9637.97,PSH,Normal
Database,UDP,0.11,99,1365,1228500.0,SYN,Anomaly
File Transfer,UDP,0.03,39,766,995800.0,PSH,Normal
Video,ICMP,0.11,12,644,70254.55,FIN,Normal
Messaging,TCP,2.8,94,1061,35619.29,SYN,Malware
Database,ICMP,2.53,109,1259,54241.5,PSH,Normal
Video,TCP,1.77,118,1138,75866.67,FIN,Normal
Video,TCP,3.15,168,768,40960.0,FIN,Normal
File Transfer,ICMP,2.44,168,1457,100318.03,ACK,Anomaly
File Transfer,UDP,0.83,156,231,43416.87,URG,Normal
Messaging,ICMP,1.29,103,1017,81202.33,PSH,Encrypted
Messaging,TCP,0.43,100,702,163255.81,SYN,Normal
Database,ICMP,4.01,41,1432,14641.4,PSH,Normal
Database,UDP,1.71,27,256,4042.11,FIN,Normal
Database,TCP,0.41,34,1336,110790.24,ACK,Normal
Web,TCP,1.15,88,768,58768.7,FIN,Normal
Web,TCP,0.58,191,1082,356313.79,PSH,Normal
File Transfer,ICMP,0.74,144,484,94183.78,PSH,Normal
File Transfer,ICMP,3.54,80,304,6870.06,URG,Anomaly
Video,ICMP,0.58,132,890,202551.72,FIN,Normal
Messaging,ICMP,1.02,148,924,134070.59,RST,Anomaly
Video,TCP,0.14,144,1088,1119085.71,URG,Malware
Web,ICMP,1.21,57,1214,57188.43,FIN,Normal
Video,TCP,2.28,43,148,2791.23,FIN,Normal
File Transfer,ICMP,4.01,190,974,46149.63,URG,Anomaly
Web,TCP,8.26,126,1196,18244.07,PSH,Normal
Video,UDP,2.0,79,697,27531.5,ACK,Anomaly
File Transfer,TCP,5.19,13,1137,2847.98,SYN,Anomaly
Database,TCP,2.72,149,1316,72089.71,SYN,Anomaly
Video,UDP,2.73,178,1231,80263.0,ACK,Anomaly
Messaging,TCP,0.11,182,834,1379890.91,PSH,Normal
Database,TCP,1.84,9,68,332.61,FIN,Malware
Video,ICMP,0.13,87,1428,955661.54,PSH,Normal
Database,TCP,0.69,149,550,118768.12,URG,Normal
Database,TCP,3.57,49,1195,16401.96,RST,Anomaly
Video,TCP,0.65,163,484,121372.31,PSH,Normal
File Transfer,UDP,0.71,171,130,31309.86,ACK,Normal
Web,ICMP,0.43,23,78,4172.09,SYN,Normal
Web,ICMP,0.85,177,692,144098.82,FIN,Anomaly
Web,TCP,0.78,130,1121,186833.33,SYN,Normal
Database,ICMP,2.03,65,934,29906.4,URG,Anomaly
Web,ICMP,1.57,5,426,1356.69,URG,Normal
Database,UDP,1.31,194,544,80561.83,URG,Normal
Video,ICMP,0.7,117,1472,246034.29,SYN,Normal
Video,UDP,3.04,170,1180,65986.84,FIN,Normal
Video,UDP,4.95,48,724,7020.61,SYN,Anomaly
File Transfer,TCP,5.25,65,854,10573.33,PSH,Normal
Video,UDP,3.33,122,1276,46748.35,URG,Normal
Web,UDP,7.44,168,1290,29129.03,ACK,Normal
File Transfer,ICMP,1.78,189,1465,155553.37,RST,Normal
Web,ICMP,0.27,53,1206,236733.33,PSH,Malware
Web,UDP,0.91,121,1322,175782.42,URG,Normal
Database,ICMP,3.47,189,1010,55011.53,URG,Normal
Video,TCP,0.49,20,1007,41102.04,FIN,Normal
Messaging,TCP,0.75,156,707,147056.0,RST,Normal
Web,UDP,0.61,126,1411,291452.46,PSH,Normal
Database,ICMP,1.56,140,737,66141.03,URG,Normal
File Transfer,ICMP,0.39,32,771,63261.54,ACK,Malware
Web,UDP,0.67,196,541,158262.69,SYN,Normal
Database,UDP,0.05,165,500,1650000.0,SYN,Normal
Video,UDP,1.73,161,948,88224.28,ACK,Malware
Web,UDP,3.63,138,922,35051.24,FIN,Normal
Video,UDP,1.94,51,489,12855.15,ACK,Normal
Video,TCP,0.13,34,1305,341307.69,PSH,Anomaly
Database,UDP,1.2,9,1182,8865.0,ACK,Normal
Web,UDP,0.79,122,1128,174197.47,ACK,Normal
File Transfer,TCP,0.98,181,892,164746.94,ACK,Anomaly
File Transfer,ICMP,2.08,90,866,37471.15,ACK,Normal
Video,UDP,2.77,165,144,8577.62,FIN,Malware
Database,UDP,0.8,133,444,73815.0,SYN,Normal
Video,ICMP,0.09,10,515,57222.22,ACK,Anomaly
File Transfer,UDP,2.51,99,810,31948.21,PSH,Normal
Messaging,UDP,1.22,57,716,33452.46,ACK,Normal
Database,UDP,2.12,87,1208,49573.58,FIN,Anomaly
Video,ICMP,0.41,114,40,11121.95,FIN,Anomaly
Video,ICMP,4.62,8,488,845.02,FIN,Normal
Database,ICMP,1.67,36,73,1573.65,URG,Anomaly
Video,ICMP,0.67,76,193,21892.54,PSH,Encrypted
File Transfer,ICMP,1.03,186,157,28351.46,RST,Normal
File Transfer,ICMP,2.67,54,307,6208.99,RST,Normal
Web,ICMP,2.54,137,1029,55501.18,URG,Normal
Video,ICMP,3.14,61,440,8547.77,ACK,Malware
Video,TCP,0.22,51,958,222081.82,ACK,Malware
Web,TCP,2.11,89,617,26025.12,SYN,Normal
Video,UDP,2.45,107,1485,64855.1,URG,Anomaly
File Transfer,ICMP,1.44,42,1369,39929.17,SYN,Anomaly
Messaging,ICMP,1.34,34,1398,35471.64,SYN,Normal
Database,ICMP,0.86,195,1371,310866.28,RST,Normal
Database,UDP,1.19,83,1059,73863.03,PSH,Normal
Video,TCP,0.53,110,120,24905.66,ACK,Anomaly
Web,TCP,4.48,136,177,5373.21,RST,Normal
Web,UDP,3.92,78,824,16395.92,SYN,Normal
Messaging,TCP,0.45,73,585,94900.0,FIN,Normal
Video,UDP,1.45,198,244,33318.62,FIN,Normal
Video,UDP,0.35,47,150,20142.86,FIN,Normal
Database,UDP,0.21,187,887,789852.38,SYN,Anomaly
Web,TCP,0.25,122,939,458232.0,RST,Normal
Messaging,TCP,0.3,188,320,200533.33,SYN,Normal
Messaging,UDP,3.41,199,706,41200.59,PSH,Normal
Messaging,UDP,1.65,182,100,11030.3,RST,Normal
Database,TCP,0.32,151,1068,503962.5,SYN,Normal
Database,TCP,0.63,174,573,158257.14,PSH,Normal
Database,ICMP,0.14,5,684,24428.57,FIN,Normal
Messaging,UDP,0.93,94,1109,112092.47,ACK,Normal
Video,UDP,0.68,82,1136,136988.24,ACK,Normal
Video,TCP,0.15,51,1184,402560.0,ACK,Normal
File Transfer,ICMP,1.75,60,389,13337.14,URG,Normal
Messaging,ICMP,0.26,52,376,75200.0,PSH,Normal
File Transfer,UDP,0.49,5,47,479.59,PSH,Normal
Web,TCP,2.07,184,758,67377.78,URG,Normal
Database,UDP,1.15,60,765,39913.04,RST,Normal
Video,TCP,0.4,32,117,9360.0,PSH,Malware
Messaging,ICMP,0.93,113,705,85661.29,ACK,Normal
File Transfer,UDP,0.06,60,922,922000.0,RST,Normal
Video,ICMP,1.87,115,958,58914.44,URG,Normal
Database,TCP,1.08,22,845,17212.96,URG,Normal
Database,UDP,1.14,19,1255,20916.67,FIN,Normal
Messaging,ICMP,0.47,32,753,51268.09,RST,Malware
Database,ICMP,1.25,21,1294,21739.2,URG,Normal
File Transfer,UDP,0.14,130,851,790214.29,FIN,Normal
Messaging,ICMP,0.4,17,1275,54187.5,SYN,Anomaly
File Transfer,ICMP,0.96,142,106,15679.17,ACK,Anomaly
Web,TCP,1.57,150,150,14331.21,URG,Normal
Video,UDP,1.32,38,662,19057.58,PSH,Anomaly
Web,TCP,2.05,117,787,44916.59,FIN,Malware
Web,ICMP,0.2,173,652,563980.0,RST,Malware
Database,UDP,0.68,30,1383,61014.71,ACK,Normal
Web,TCP,1.27,188,354,52403.15,PSH,Normal
Database,UDP,6.46,125,1352,26160.99,SYN,Normal
Database,ICMP,0.01,25,663,1657500.0,FIN,Normal
Web,ICMP,0.26,79,389,118196.15,FIN,Normal
Video,TCP,0.29,59,1200,244137.93,PSH,Malware
Messaging,TCP,0.13,35,1103,296961.54,SYN,Normal
Video,TCP,1.79,156,1286,112075.98,URG,Malware
Database,ICMP,3.4,79,43,999.12,URG,Normal
Web,ICMP,0.01,122,920,11224000.0,SYN,Malware
Web,ICMP,1.01,183,613,111068.32,FIN,Normal
Video,TCP,3.98,83,754,15724.12,URG,Malware
File Transfer,TCP,1.27,183,212,30548.03,RST,Encrypted
Web,TCP,2.2,74,1473,49546.36,SYN,Normal
Messaging,TCP,0.59,23,763,29744.07,ACK,Encrypted
File Transfer,ICMP,1.06,117,179,19757.55,SYN,Normal
Web,ICMP,0.18,94,693,361900.0,ACK,Normal
Database,UDP,0.51,41,178,14309.8,FIN,Normal
File Transfer,TCP,4.03,81,298,5989.58,RST,Encrypted
Messaging,TCP,0.08,182,49,111475.0,ACK,Anomaly
Database,UDP,1.19,142,211,25178.15,ACK,Normal
Web,UDP,0.34,172,360,182117.65,SYN,Malware
Database,TCP,0.22,77,824,288400.0,SYN,Anomaly
Messaging,UDP,0.19,147,1482,1146600.0,SYN,Anomaly
Video,UDP,0.64,53,357,29564.06,RST,Normal
Database,TCP,2.06,182,373,32954.37,PSH,Anomaly
Messaging,UDP,4.05,141,627,21828.89,URG,Encrypted
Database,ICMP,0.72,5,1359,9437.5,ACK,Normal
Messaging,ICMP,1.92,64,1412,47066.67,SYN,Normal
Web,ICMP,0.23,109,1292,612295.65,FIN,Normal
Messaging,UDP,0.34,34,1354,135400.0,SYN,Normal
File Transfer,UDP,0.27,9,890,29666.67,PSH,Normal
Database,ICMP,1.64,158,613,59057.32,RST,Anomaly
File Transfer,UDP,0.67,46,128,8788.06,PSH,Normal
File Transfer,TCP,1.72,76,1358,60004.65,URG,Encrypted
Video,TCP,1.88,36,461,8827.66,RST,Normal
Messaging,TCP,1.16,67,182,10512.07,RST,Normal
Video,UDP,1.29,149,1288,148768.99,ACK,Encrypted
File Transfer,UDP,0.75,198,860,227040.0,FIN,Normal
Database,UDP,3.55,183,1102,56807.32,PSH,Anomaly
File Transfer,TCP,0.19,138,618,448863.16,URG,Normal
File Transfer,UDP,1.48,46,1078,33505.41,FIN,Normal
Video,UDP,3.16,37,517,6053.48,RST,Malware
Messaging,ICMP,3.36,168,196,9800.0,SYN,Normal
Messaging,UDP,0.25,101,1060,428240.0,PSH,Normal
Messaging,TCP,0.43,187,328,142641.86,RST,Anomaly
Database,ICMP,0.05,90,556,1000800.0,ACK,Normal
Messaging,TCP,3.14,101,1181,37987.58,SYN,Normal
Video,ICMP,2.58,163,854,53954.26,URG,Normal
File Transfer,TCP,2.81,184,54,3535.94,SYN,Normal
Web,UDP,2.39,9,1220,4594.14,ACK,Malware
Web,ICMP,0.39,80,169,34666.67,SYN,Normal
Web,UDP,0.02,119,794,4724300.0,PSH,Normal
Messaging,TCP,1.25,30,1346,32304.0,ACK,Normal
Messaging,ICMP,0.64,15,1317,30867.19,SYN,Malware
Web,TCP,3.59,42,1197,14003.9,ACK,Malware
Messaging,TCP,0.77,51,385,25500.0,FIN,Normal
Video,UDP,4.41,144,257,8391.84,PSH,Normal
Messaging,UDP,1.32,194,1273,187092.42,PSH,Normal
Database,ICMP,1.42,115,867,70214.79,URG,Normal
Video,TCP,1.35,104,1047,80657.78,URG,Normal
Video,ICMP,1.79,124,166,11499.44,URG,Normal
File Transfer,ICMP,0.25,96,1441,553344.0,ACK,Normal
File Transfer,ICMP,0.11,55,1092,546000.0,ACK,Anomaly
Messaging,UDP,0.17,45,818,216529.41,ACK,Anomaly
Video,TCP,0.9,50,1468,81555.56,URG,Normal
Video,UDP,0.27,168,1245,774666.67,SYN,Normal
Messaging,TCP,2.73,5,606,1109.89,ACK,Normal
File Transfer,UDP,0.39,147,700,263846.15,RST,Normal
File Transfer,TCP,0.72,57,1200,95000.0,PSH,Normal
Database,TCP,0.35,61,156,27188.57,ACK,Normal
Messaging,TCP,1.39,39,614,17227.34,PSH,Encrypted
Database,TCP,0.8,94,114,13395.0,SYN,Normal
Video,ICMP,3.85,139,1273,45960.26,PSH,Normal
Web,ICMP,0.98,95,679,65821.43,ACK,Normal
Video,UDP,0.38,112,802,236378.95,FIN,Malware
Video,ICMP,0.23,156,64,43408.7,SYN,Normal
Messaging,UDP,1.03,92,1224,109328.16,PSH,Normal
File Transfer,UDP,0.68,67,1042,102667.65,URG,Normal
Web,UDP,1.5,160,1112,118613.33,URG,Normal
Messaging,TCP,0.29,88,1424,432110.34,SYN,Normal
Database,TCP,0.24,122,381,193675.0,URG,Normal
Messaging,UDP,0.13,193,1423,2112607.69,PSH,Normal
Messaging,TCP,1.05,5,1204,5733.33,PSH,Malware
Web,ICMP,0.76,183,991,238622.37,SYN,Anomaly
File Transfer,UDP,3.42,36,709,7463.16,RST,Anomaly
Web,UDP,0.32,177,325,179765.62,URG,Normal
File Transfer,UDP,2.72,23,57,481.99,SYN,Normal
Video,ICMP,0.52,119,1238,283311.54,PSH,Normal
Web,ICMP,1.13,117,153,15841.59,URG,Normal
File Transfer,ICMP,1.03,183,870,154572.82,RST,Normal
Web,ICMP,0.16,12,964,72300.0,URG,Normal
Web,ICMP,0.12,135,839,943875.0,FIN,Anomaly
File Transfer,UDP,0.48,114,201,47737.5,URG,Normal
Database,TCP,0.79,91,94,10827.85,ACK,Malware
File Transfer,ICMP,0.25,182,1454,1058512.0,RST,Malware
Database,UDP,1.61,69,352,15085.71,ACK,Anomaly
Web,TCP,0.38,191,367,184465.79,ACK,Normal
Messaging,ICMP,0.16,71,1114,494337.5,ACK,Normal
Video,ICMP,1.59,12,1481,11177.36,URG,Normal
Video,TCP,2.45,92,1141,42845.71,PSH,Anomaly
Messaging,TCP,1.39,50,530,19064.75,ACK,Normal
Database,TCP,4.93,169,221,7575.86,RST,Normal
Video,ICMP,0.34,59,983,170579.41,RST,Encrypted
File Transfer,TCP,0.14,78,814,453514.29,SYN,Normal
Web,UDP,2.0,89,186,8277.0,URG,Malware
File Transfer,TCP,0.2,151,1348,1017740.0,SYN,Malware
Messaging,ICMP,0.82,6,854,6248.78,SYN,Anomaly
File Transfer,ICMP,1.47,15,785,8010.2,PSH,Normal
File Transfer,ICMP,2.62,199,510,38736.64,URG,Anomaly
Database,TCP,0.05,24,300,144000.0,ACK,Malware
Messaging,UDP,0.64,141,1289,283982.81,PSH,Normal
Video,TCP,2.96,103,893,31073.99,ACK,Normal
Video,TCP,2.27,85,753,28196.04,RST,Encrypted
Video,TCP,1.25,63,167,8416.8,PSH,Normal
Video,UDP,0.3,118,1178,463346.67,FIN,Encrypted
File Transfer,UDP,1.08,13,591,7113.89,FIN,Normal
Messaging,UDP,1.8,29,1422,22910.0,PSH,Malware
Video,TCP,0.37,26,1298,91210.81,RST,Normal
Database,UDP,0.82,158,481,92680.49,URG,Normal
Database,UDP,3.46,102,844,24880.92,SYN,Normal
Database,UDP,0.03,150,167,835000.0,RST,Normal
Web,UDP,0.19,104,80,43789.47,URG,Normal
File Transfer,TCP,0.48,21,1216,53200.0,URG,Normal
Messaging,TCP,1.03,80,381,29592.23,ACK,Normal
Messaging,UDP,0.22,61,1350,374318.18,ACK,Normal
Web,TCP,3.11,172,649,35893.25,SYN,Normal
Web,UDP,1.38,57,494,20404.35,SYN,Malware
File Transfer,UDP,1.28,149,961,111866.41,URG,Malware
Video,ICMP,0.78,194,673,167387.18,RST,Normal
Database,TCP,0.82,134,1059,173056.1,ACK,Normal
Messaging,ICMP,4.78,197,858,35361.09,SYN,Normal
Database,UDP,0.14,119,833,708050.0,URG,Normal
File Transfer,UDP,0.11,15,1359,185318.18,URG,Normal
Web,TCP,0.86,168,1176,229730.23,SYN,Normal
Database,ICMP,1.92,58,137,4138.54,RST,Normal
File Transfer,TCP,0.76,156,797,163594.74,ACK,Normal
Messaging,UDP,0.22,60,1352,368727.27,PSH,Normal
Messaging,UDP,0.47,152,1307,422689.36,PSH,Normal
Messaging,UDP,0.08,194,404,979700.0,ACK,Normal
Database,UDP,0.25,158,112,70784.0,FIN,Encrypted
File Transfer,UDP,0.12,21,1280,224000.0,FIN,Normal
Database,UDP,1.83,108,81,4780.33,RST,Normal
Web,UDP,0.92,39,170,7206.52,ACK,Normal
Web,TCP,0.12,112,211,196933.33,SYN,Anomaly
Database,UDP,5.15,106,905,18627.18,URG,Normal
Web,ICMP,0.16,105,1107,726468.75,ACK,Normal
Video,ICMP,2.47,53,996,21371.66,ACK,Normal
Messaging,ICMP,2.34,61,51,1329.49,SYN,Normal
Web,ICMP,1.17,87,700,52051.28,URG,Normal
Messaging,TCP,2.13,122,1015,58136.15,RST,Normal
Web,UDP,2.84,29,505,5156.69,SYN,Normal
Messaging,TCP,1.01,147,528,76847.52,PSH,Normal
Messaging,TCP,4.33,51,1351,15912.47,FIN,Anomaly
Video,ICMP,1.83,149,1020,83049.18,SYN,Normal
Web,UDP,0.96,139,374,54152.08,PSH,Normal
Video,ICMP,1.79,141,922,72626.82,PSH,Normal
Database,UDP,3.87,63,766,12469.77,ACK,Anomaly
File Transfer,UDP,2.38,120,974,49109.24,ACK,Normal
Messaging,TCP,0.91,191,654,137268.13,SYN,Anomaly
Messaging,ICMP,0.06,163,1215,3300750.0,SYN,Normal
Web,TCP,0.39,192,1161,571569.23,ACK,Normal
Messaging,UDP,3.24,175,975,52662.04,FIN,Normal
Messaging,ICMP,0.87,112,78,10041.38,FIN,Malware
Messaging,TCP,0.57,8,1412,19817.54,ACK,Malware
Database,TCP,1.63,145,761,67696.32,RST,Normal
File Transfer,ICMP,1.1,174,1171,185230.91,FIN,Normal
Web,UDP,0.4,59,778,114755.0,ACK,Normal
Database,ICMP,3.06,162,290,15352.94,SYN,Anomaly
File Transfer,ICMP,3.12,145,1337,62136.22,URG,Normal
Web,UDP,4.2,127,1102,33322.38,RST,Encrypted
Database,TCP,0.01,33,997,3290100.0,ACK,Normal
File Transfer,ICMP,0.14,66,284,133885.71,SYN,Normal
Web,ICMP,0.98,20,1302,26571.43,FIN,Normal
File Transfer,TCP,0.76,162,960,204631.58,RST,Anomaly
Database,UDP,0.62,88,428,60748.39,URG,Anomaly
Web,UDP,1.98,181,42,3839.39,SYN,Normal
Video,ICMP,0.94,124,363,47885.11,ACK,Malware
Web,ICMP,1.89,41,471,10217.46,ACK,Normal
Video,ICMP,0.03,77,438,1124200.0,FIN,Anomaly
Database,TCP,0.73,92,1003,126405.48,SYN,Normal
Database,ICMP,0.37,41,100,11081.08,SYN,Normal
File Transfer,UDP,0.45,128,749,213048.89,URG,Normal
Web,TCP,6.05,67,1365,15116.53,PSH,Normal
Video,TCP,1.38,66,265,12673.91,ACK,Normal
Web,TCP,0.27,56,811,168207.41,PSH,Malware
Video,UDP,0.4,152,1373,521740.0,FIN,Normal
Database,TCP,1.4,114,1393,113430.0,SYN,Encrypted
