traffic_type,protocol,flag,packet_length,duration,flow_bytes,label
FileTransfer,TCP,SYN,234,2.532562409386938,14816,FileTransfer_Threat
Web,TCP,RST,454,0.02028450365787763,11238,Web_Anomaly
Web,UDP,ACK,971,1.5977934499347977,35398,Web_Threat
Messaging,ICMP,SYN,742,4.690708773518158,51212,Messaging_Threat
Messaging,TCP,ACK,1361,9.443593313228721,23529,Messaging_Threat
Messaging,TCP,FIN,51,1.0309142607402526,50300,Messaging_Normal
Video,TCP,FIN,689,8.543555646871043,71408,Video_Anomaly
FileTransfer,UDP,SYN,304,5.274970721156502,48344,FileTransfer_Anomaly
FileTransfer,UDP,SYN,1348,8.260948450340967,17447,FileTransfer_Anomaly
FileTransfer,ICMP,ACK,448,2.9907605655900262,17020,FileTransfer_Normal
FileTransfer,ICMP,RST,305,8.401072175077994,31922,FileTransfer_Normal
Messaging,ICMP,ACK,1187,7.730499572367877,46759,Messaging_Anomaly
Video,UDP,SYN,1467,2.3082362934840246,40208,Video_Normal
Video,UDP,ACK,1062,1.3220379128296869,89199,Video_Anomaly
Messaging,ICMP,SYN,37,8.681862682097606,8067,Messaging_Normal
Video,ICMP,ACK,788,9.632734167866918,11971,Video_Threat
Messaging,UDP,SYN,609,0.32271011433768726,94399,Messaging_Threat
FileTransfer,ICMP,SYN,1414,7.315387969067118,77552,FileTransfer_Anomaly
Messaging,TCP,SYN,1218,9.096149864368705,74370,Messaging_Normal
FileTransfer,UDP,RST,1029,8.575027320004061,33713,FileTransfer_Normal
FileTransfer,ICMP,ACK,213,9.645559517979382,28279,FileTransfer_Threat
Web,UDP,ACK,521,7.603339843596591,52288,Web_Threat
Messaging,TCP,ACK,1007,4.4285646361852935,55199,Messaging_Normal
Web,UDP,SYN,1156,3.126400385046353,35362,Web_Normal
Messaging,UDP,ACK,133,3.214219976976893,78313,Messaging_Normal
Messaging,UDP,ACK,1265,7.2469824994150285,18368,Messaging_Normal
Web,UDP,SYN,966,7.460911750189333,77966,Web_Normal
Web,TCP,FIN,850,2.0115878440516393,86369,Web_Normal
Messaging,UDP,SYN,1307,8.682546906770405,60645,Messaging_Anomaly
Video,UDP,ACK,944,7.152091161620454,92922,Video_Normal
FileTransfer,ICMP,SYN,74,5.631875360570392,72246,FileTransfer_Threat
Web,UDP,FIN,819,4.720609276424102,72066,Web_Anomaly
FileTransfer,ICMP,SYN,797,5.436895729841682,40022,FileTransfer_Normal
Video,TCP,ACK,181,1.6008649254098521,79464,Video_Threat
Video,TCP,FIN,1423,2.044975480269979,43013,Video_Anomaly
Video,TCP,RST,106,0.9207332591578549,97133,Video_Threat
Web,TCP,ACK,74,1.5450438012295156,55777,Web_Normal
Video,ICMP,FIN,1221,4.542399409706774,49941,Video_Normal
Web,UDP,FIN,1434,5.308240393345279,46432,Web_Normal
Video,TCP,RST,1392,0.18844030585841057,92162,Video_Normal
FileTransfer,UDP,SYN,1051,7.970010300361635,95794,FileTransfer_Anomaly
FileTransfer,ICMP,SYN,852,2.948738053701344,25132,FileTransfer_Anomaly
Messaging,ICMP,ACK,332,9.119241989249511,37946,Messaging_Threat
FileTransfer,ICMP,RST,778,9.675437523501639,59574,FileTransfer_Normal
Messaging,TCP,SYN,462,1.862734158019777,45036,Messaging_Threat
FileTransfer,UDP,RST,347,4.62635193474895,29894,FileTransfer_Anomaly
Web,UDP,SYN,1097,0.022306033312594616,61688,Web_Normal
FileTransfer,UDP,FIN,780,5.987289378573045,71084,FileTransfer_Normal
Messaging,ICMP,SYN,1282,6.076991418144085,50431,Messaging_Anomaly
Messaging,TCP,RST,1272,2.4829241564777176,94497,Messaging_Anomaly
Video,ICMP,FIN,598,5.588542599106147,28241,Video_Anomaly
Web,ICMP,FIN,1094,2.263146023012917,9174,Web_Anomaly
FileTransfer,UDP,FIN,1026,1.6166464360911188,6506,FileTransfer_Anomaly
Video,ICMP,RST,1307,6.5186794733546245,97459,Video_Normal
FileTransfer,UDP,ACK,1461,3.265995384881228,23391,FileTransfer_Anomaly
FileTransfer,TCP,ACK,115,5.906736749467369,41668,FileTransfer_Normal
Video,UDP,ACK,1131,4.338135022226839,97639,Video_Normal
Video,TCP,RST,1121,9.84367055995501,46951,Video_Anomaly
Video,UDP,FIN,1331,1.504310620248982,54923,Video_Anomaly
Video,ICMP,ACK,1163,4.651339980391743,23412,Video_Normal
Video,ICMP,RST,833,6.807761697329659,43208,Video_Anomaly
FileTransfer,TCP,ACK,510,3.9614953879608867,67018,FileTransfer_Anomaly
Video,TCP,SYN,471,9.747251520188192,34271,Video_Anomaly
Web,TCP,ACK,184,7.221657402990081,41879,Web_Threat
Messaging,UDP,ACK,201,6.573268737069285,68928,Messaging_Normal
Video,UDP,FIN,488,7.573022083436121,98823,Video_Threat
Video,TCP,RST,929,9.526959894006783,12511,Video_Anomaly
FileTransfer,ICMP,FIN,754,9.079108343316555,57109,FileTransfer_Threat
Video,UDP,FIN,842,7.245610228182855,15522,Video_Anomaly
Video,UDP,FIN,963,7.494124774621818,42568,Video_Threat
Video,UDP,FIN,26,1.4677615196111031,32471,Video_Anomaly
FileTransfer,TCP,FIN,349,1.0368961208817302,57122,FileTransfer_Threat
Video,TCP,ACK,794,5.713335973423201,71329,Video_Threat
Messaging,TCP,FIN,170,0.19349269303599462,99171,Messaging_Threat
FileTransfer,TCP,FIN,1128,4.8287402517004,51296,FileTransfer_Normal
Messaging,TCP,RST,166,2.111392303389497,80454,Messaging_Threat
FileTransfer,ICMP,SYN,1424,3.466705510771947,96874,FileTransfer_Normal
Video,ICMP,ACK,934,7.760289310571631,96510,Video_Anomaly
Messaging,TCP,ACK,1328,9.41296266728154,26815,Messaging_Threat
FileTransfer,UDP,ACK,719,0.7334385587419516,27705,FileTransfer_Anomaly
Web,TCP,FIN,101,5.347079637704686,99953,Web_Anomaly
Video,ICMP,FIN,533,8.826509523337805,31274,Video_Threat
FileTransfer,ICMP,FIN,834,0.8342602590598086,10056,FileTransfer_Normal
Web,UDP,RST,728,8.24689532849937,76473,Web_Threat
FileTransfer,ICMP,SYN,765,3.584435495773431,69352,FileTransfer_Anomaly
Web,TCP,FIN,1042,3.22772607517116,62049,Web_Anomaly
Video,UDP,SYN,1429,9.77488919928471,62746,Video_Threat
Messaging,TCP,RST,726,2.0165823077243186,70117,Messaging_Normal
Web,TCP,ACK,490,6.935007468818583,63137,Web_Normal
FileTransfer,UDP,FIN,1162,8.216192872818565,89918,FileTransfer_Anomaly
Video,TCP,SYN,415,0.42142311783992403,6648,Video_Anomaly
Web,ICMP,SYN,280,6.707150728960578,73394,Web_Normal
FileTransfer,TCP,FIN,824,9.515984243809717,23277,FileTransfer_Threat
FileTransfer,UDP,ACK,953,1.2509574676133128,24122,FileTransfer_Anomaly
FileTransfer,UDP,ACK,1299,8.963250813823533,5642,FileTransfer_Normal
Web,UDP,ACK,924,5.951818607395592,91112,Web_Anomaly
Web,TCP,RST,1269,6.169879772806115,96420,Web_Threat
Web,UDP,SYN,1096,6.133312306907403,60528,Web_Normal
Messaging,UDP,SYN,959,2.995370504509765,22840,Messaging_Anomaly
Web,TCP,SYN,873,9.352666134841602,59453,Web_Threat
Web,ICMP,RST,1407,9.474031121684076,90453,Web_Anomaly
Web,TCP,SYN,1323,6.256793555537339,56632,Web_Threat
Messaging,UDP,RST,612,7.836393032156731,16152,Messaging_Threat
Web,UDP,ACK,733,6.126457278952768,47176,Web_Normal
FileTransfer,TCP,FIN,1201,4.849140491264666,53520,FileTransfer_Threat
Web,ICMP,SYN,651,6.6115929818095145,771,Web_Anomaly
FileTransfer,UDP,SYN,78,5.534484511393664,263,FileTransfer_Threat
FileTransfer,UDP,ACK,147,5.978783867692981,41524,FileTransfer_Threat
FileTransfer,UDP,FIN,755,7.840487208654431,53844,FileTransfer_Normal
Messaging,TCP,RST,740,4.814229276175358,70431,Messaging_Threat
Messaging,UDP,FIN,1158,0.4171335198638029,10734,Messaging_Threat
Messaging,ICMP,ACK,1252,1.6483548150850775,4898,Messaging_Anomaly
Web,UDP,ACK,545,4.391686092730488,22520,Web_Normal
FileTransfer,UDP,FIN,540,7.251017333141842,29400,FileTransfer_Normal
Messaging,ICMP,RST,571,5.936853696618686,89981,Messaging_Normal
Messaging,UDP,RST,256,6.506438916875804,10849,Messaging_Threat
Web,TCP,SYN,1324,4.79799649647711,25221,Web_Normal
Messaging,TCP,RST,1402,6.161262799203006,37587,Messaging_Threat
Web,TCP,FIN,1244,3.2968842037684754,94047,Web_Threat
Video,ICMP,ACK,1321,4.707124101039684,33461,Video_Anomaly
Messaging,UDP,SYN,1278,7.4453478652936065,21323,Messaging_Anomaly
Video,TCP,SYN,513,8.71960946194148,73030,Video_Anomaly
Web,ICMP,ACK,23,4.342216786224325,14156,Web_Anomaly
FileTransfer,UDP,RST,685,0.4461799604965383,28480,FileTransfer_Anomaly
Messaging,ICMP,ACK,461,1.6251087160265585,26135,Messaging_Threat
Web,TCP,RST,48,0.21840278152246564,30720,Web_Threat
FileTransfer,TCP,ACK,1152,6.536097562180927,19977,FileTransfer_Normal
FileTransfer,TCP,FIN,629,3.3298231072975377,55416,FileTransfer_Threat
Video,ICMP,RST,824,5.429361570836481,64141,Video_Threat
Web,ICMP,FIN,94,4.937835699370158,53452,Web_Anomaly
FileTransfer,TCP,SYN,857,0.8244496306287427,31011,FileTransfer_Threat
Messaging,ICMP,ACK,1189,4.03858099762708,32884,Messaging_Anomaly
Messaging,TCP,SYN,147,2.2134056379740095,3291,Messaging_Normal
Video,TCP,SYN,61,4.189813888789851,33260,Video_Normal
FileTransfer,UDP,SYN,1399,2.043747020619004,90636,FileTransfer_Threat
Web,ICMP,SYN,60,8.406119538706566,64741,Web_Normal
Messaging,TCP,ACK,953,1.750191432416754,49823,Messaging_Threat
FileTransfer,TCP,SYN,53,9.608197709354899,3731,FileTransfer_Normal
FileTransfer,ICMP,ACK,1060,4.164914587807939,6272,FileTransfer_Anomaly
Video,UDP,ACK,1196,8.463990467270303,42180,Video_Anomaly
Messaging,UDP,FIN,1017,6.291360533877391,89197,Messaging_Anomaly
Messaging,TCP,RST,1421,7.356149483670869,90453,Messaging_Anomaly
Web,ICMP,RST,607,7.679561641787135,20381,Web_Threat
Messaging,UDP,ACK,361,5.053400370111247,28771,Messaging_Normal
Web,ICMP,FIN,46,5.437572228399251,51531,Web_Threat
Messaging,ICMP,ACK,1330,5.144818719409162,91000,Messaging_Anomaly
Video,TCP,ACK,665,5.884703197119891,93061,Video_Threat
Messaging,UDP,ACK,750,0.30365051310750785,28702,Messaging_Normal
Web,TCP,FIN,187,3.9611965467916623,88889,Web_Threat
Web,UDP,RST,629,6.065825248476104,51499,Web_Normal
Video,UDP,FIN,287,5.981258416906084,23572,Video_Threat
Messaging,UDP,SYN,840,7.931631385110259,49330,Messaging_Normal
Messaging,UDP,FIN,474,6.553543294932764,73716,Messaging_Normal
Video,UDP,FIN,925,9.921411830243317,7199,Video_Anomaly
Messaging,ICMP,FIN,1444,2.8457067408003636,25531,Messaging_Normal
Messaging,TCP,FIN,941,3.597918786365652,56592,Messaging_Anomaly
Web,ICMP,RST,1000,3.844633047159285,96822,Web_Anomaly
Messaging,UDP,SYN,721,4.6634699421322825,47784,Messaging_Anomaly
Messaging,TCP,RST,653,8.361620657174281,30211,Messaging_Threat
Video,UDP,RST,149,2.3655630186525065,64036,Video_Threat
Video,TCP,FIN,1039,7.762242068283941,22714,Video_Threat
FileTransfer,ICMP,ACK,1406,4.059048729026577,92360,FileTransfer_Threat
Web,TCP,ACK,838,6.0225352827834655,42091,Web_Normal
Messaging,TCP,RST,712,6.329079926930798,70576,Messaging_Normal
Messaging,TCP,RST,1335,3.734757885517455,61020,Messaging_Threat
FileTransfer,TCP,FIN,1414,5.1310259000059935,94394,FileTransfer_Normal
Messaging,TCP,RST,813,4.136181434730493,63630,Messaging_Normal
Web,UDP,FIN,48,0.7006365340043282,36324,Web_Anomaly
FileTransfer,TCP,ACK,168,4.377282234280097,7888,FileTransfer_Anomaly
Web,TCP,ACK,1339,0.9829599916099863,28182,Web_Anomaly
FileTransfer,ICMP,SYN,30,4.056157782812412,89670,FileTransfer_Anomaly
FileTransfer,TCP,ACK,695,5.9332548143195005,76916,FileTransfer_Normal
Video,ICMP,RST,1156,5.7983548444415725,83688,Video_Threat
Web,UDP,ACK,206,6.629586577293121,16631,Web_Normal
Messaging,TCP,FIN,826,0.9616624644667167,88440,Messaging_Normal
Messaging,ICMP,ACK,763,6.524711222849074,94539,Messaging_Normal
Web,ICMP,SYN,1270,3.128359086397506,44957,Web_Anomaly
Messaging,UDP,ACK,1353,3.9964690019097397,10242,Messaging_Anomaly
Messaging,TCP,FIN,117,8.581282676687831,48455,Messaging_Anomaly
Web,TCP,FIN,74,0.10021373725420701,9966,Web_Threat
FileTransfer,ICMP,RST,642,5.888242207072649,70167,FileTransfer_Normal
Web,TCP,ACK,683,5.991152661200075,64127,Web_Threat
FileTransfer,ICMP,FIN,777,3.972631165672184,58006,FileTransfer_Anomaly
Messaging,TCP,SYN,425,2.377908292512278,28238,Messaging_Threat
Messaging,ICMP,RST,88,2.3543936422328953,92701,Messaging_Normal
Messaging,TCP,SYN,1355,8.838259599910918,30056,Messaging_Normal
Video,UDP,ACK,1332,4.425823494090746,76395,Video_Anomaly
FileTransfer,TCP,ACK,770,3.3155847362618274,5539,FileTransfer_Anomaly
Video,TCP,ACK,1191,4.4932879625757165,47341,Video_Threat
Video,UDP,RST,1287,6.69721011057902,42633,Video_Anomaly
Web,TCP,FIN,977,1.4661081167650694,28370,Web_Anomaly
Video,UDP,RST,384,4.499844013785239,78915,Video_Normal
Web,TCP,SYN,501,5.882964867392765,39379,Web_Anomaly
Web,ICMP,RST,220,9.486347714965824,23988,Web_Anomaly
Video,ICMP,SYN,173,2.532752542933438,17730,Video_Normal
FileTransfer,TCP,RST,1493,3.598914971683293,61163,FileTransfer_Normal
FileTransfer,TCP,FIN,92,3.7997923133250135,35244,FileTransfer_Threat
FileTransfer,TCP,SYN,732,6.059326194872379,52261,FileTransfer_Anomaly
FileTransfer,ICMP,ACK,315,3.5737532098696163,96818,FileTransfer_Normal
FileTransfer,TCP,ACK,1060,5.339784133743959,91174,FileTransfer_Threat
Video,ICMP,RST,1260,7.820085395151843,77460,Video_Threat
Video,UDP,ACK,80,7.056802085180914,51079,Video_Anomaly
Messaging,ICMP,SYN,958,4.46922277866073,97761,Messaging_Anomaly
FileTransfer,ICMP,ACK,61,8.643519614964948,7079,FileTransfer_Threat
Video,UDP,FIN,44,5.58582109344269,26289,Video_Normal
Messaging,ICMP,FIN,1082,5.403659336627102,42700,Messaging_Threat
FileTransfer,TCP,RST,150,0.3515357817321902,59660,FileTransfer_Anomaly
Web,TCP,SYN,1272,9.867062873768043,78140,Web_Normal
Messaging,ICMP,FIN,127,1.2384783772109709,61658,Messaging_Normal
Video,TCP,FIN,191,2.3189978151521893,86305,Video_Threat
Web,ICMP,SYN,1478,0.5264514040428544,7010,Web_Anomaly
Web,TCP,ACK,121,6.403629638700768,57813,Web_Threat
Web,TCP,ACK,885,2.254764757957073,46957,Web_Threat
Messaging,ICMP,RST,543,1.8083042703525078,35064,Messaging_Threat
Video,TCP,ACK,294,0.8946702863901815,85767,Video_Normal
Web,ICMP,SYN,1087,1.0420564816689166,25327,Web_Normal
FileTransfer,TCP,FIN,836,5.850860297421462,6078,FileTransfer_Anomaly
Web,TCP,ACK,976,6.885196580007288,87627,Web_Anomaly
Web,UDP,RST,1060,3.9798160947593657,17253,Web_Threat
Messaging,UDP,ACK,349,4.804171845104811,59865,Messaging_Threat
Messaging,ICMP,SYN,31,6.862817682470011,99184,Messaging_Threat
Video,UDP,RST,1361,0.1836241039529416,39171,Video_Anomaly
FileTransfer,ICMP,ACK,235,3.2380752641320827,69619,FileTransfer_Normal
Messaging,UDP,RST,358,9.731246503222762,9603,Messaging_Normal
Web,TCP,SYN,680,5.805321174657726,60803,Web_Threat
Video,ICMP,FIN,1124,2.5497035531759575,64479,Video_Threat
Web,ICMP,SYN,393,5.22208316589577,95557,Web_Threat
Web,TCP,SYN,995,3.433108346327944,57966,Web_Threat
Messaging,ICMP,SYN,729,5.3271274383747285,17005,Messaging_Anomaly
Video,ICMP,SYN,1243,1.266157702948422,45938,Video_Normal
FileTransfer,UDP,FIN,485,1.335819391654581,58379,FileTransfer_Threat
FileTransfer,ICMP,FIN,1132,1.4439881967735346,89589,FileTransfer_Anomaly
Messaging,TCP,RST,1311,9.39879972134915,26906,Messaging_Threat
Messaging,UDP,ACK,508,7.331660194230005,45100,Messaging_Threat
Video,UDP,FIN,66,1.6321951276765858,22268,Video_Normal
FileTransfer,TCP,FIN,1331,1.8916073468183585,70219,FileTransfer_Threat
FileTransfer,TCP,ACK,797,7.310986453960055,38814,FileTransfer_Normal
FileTransfer,UDP,FIN,1059,1.5700768094738176,54193,FileTransfer_Normal
Web,ICMP,SYN,730,2.3532673204149384,55519,Web_Normal
FileTransfer,UDP,SYN,420,9.633834859875787,49245,FileTransfer_Anomaly
Web,TCP,ACK,1000,2.560512182037034,77525,Web_Anomaly
Video,UDP,RST,1129,6.619707180207756,93049,Video_Normal
Web,TCP,RST,269,9.786526561131298,77911,Web_Threat
Video,UDP,ACK,410,3.7492247037265285,2561,Video_Normal
FileTransfer,ICMP,ACK,354,0.18498474871200174,14391,FileTransfer_Threat
FileTransfer,UDP,SYN,648,2.449031431319519,46904,FileTransfer_Normal
Video,UDP,RST,156,8.310463141503638,77071,Video_Threat
Messaging,TCP,FIN,902,8.647442271190817,93571,Messaging_Anomaly
Video,TCP,SYN,707,7.687508451592675,65046,Video_Threat
Messaging,TCP,ACK,846,1.1399670925749645,99089,Messaging_Normal
Web,UDP,RST,746,7.9571486132470675,84180,Web_Anomaly
Web,ICMP,FIN,613,9.187591191965108,61432,Web_Threat
Web,TCP,FIN,1266,6.010089330036899,77894,Web_Threat
FileTransfer,TCP,SYN,1009,9.409344809817268,30941,FileTransfer_Threat
Web,UDP,RST,391,8.270120448281656,48858,Web_Threat
Messaging,TCP,RST,954,6.673045454739164,76372,Messaging_Threat
Web,ICMP,ACK,1014,5.7760805147503635,37743,Web_Anomaly
Video,ICMP,RST,421,3.492250935747285,50508,Video_Anomaly
Video,TCP,RST,1486,1.6012815779756233,44050,Video_Anomaly
FileTransfer,TCP,SYN,634,6.0534896876785025,56949,FileTransfer_Anomaly
Video,UDP,RST,1316,3.1879344206450138,28144,Video_Normal
Messaging,ICMP,FIN,1202,8.665722288601177,16097,Messaging_Anomaly
Web,ICMP,SYN,1195,9.933436004212698,79851,Web_Threat
FileTransfer,TCP,SYN,1014,7.52675334852957,98705,FileTransfer_Threat
Web,UDP,ACK,639,0.913912135917637,24011,Web_Anomaly
Web,ICMP,RST,207,2.8939690993510747,55633,Web_Threat
Messaging,ICMP,ACK,1141,1.1000052213398397,82666,Messaging_Anomaly
Video,UDP,FIN,150,6.5086113614392405,94970,Video_Threat
Video,UDP,SYN,824,7.654256736912289,14671,Video_Normal
Web,ICMP,SYN,1214,9.25749156049831,94563,Web_Normal
FileTransfer,ICMP,SYN,955,4.387341740655756,58041,FileTransfer_Anomaly
Video,UDP,FIN,1005,9.01474273938856,58105,Video_Anomaly
FileTransfer,ICMP,FIN,202,8.780132678822863,86350,FileTransfer_Anomaly
Video,TCP,ACK,1002,3.178785210486332,58812,Video_Threat
FileTransfer,TCP,ACK,383,8.690317249150304,43641,FileTransfer_Anomaly
Messaging,UDP,ACK,58,3.7629657962984475,23487,Messaging_Normal
FileTransfer,UDP,RST,516,2.975724052857205,94080,FileTransfer_Threat
Messaging,UDP,SYN,1392,6.4942558413559865,49008,Messaging_Anomaly
Messaging,TCP,SYN,1001,3.29052846657196,85557,Messaging_Threat
FileTransfer,ICMP,ACK,940,6.305785395808151,13157,FileTransfer_Threat
Messaging,TCP,SYN,1440,6.102219736931958,64128,Messaging_Anomaly
Web,ICMP,ACK,741,5.638754884211103,55831,Web_Threat
Messaging,TCP,RST,1204,3.810392845285649,24958,Messaging_Normal
Video,ICMP,RST,35,5.489512219298253,48789,Video_Normal
FileTransfer,TCP,FIN,512,5.968889895104361,44738,FileTransfer_Threat
Web,UDP,RST,1469,5.461412016069779,91698,Web_Anomaly
FileTransfer,TCP,ACK,1151,4.449750332984503,46586,FileTransfer_Threat
Video,ICMP,RST,913,0.15652389989217547,20667,Video_Normal
Video,TCP,FIN,1493,5.874746459934498,29839,Video_Threat
Video,TCP,SYN,330,1.6927594075757693,57904,Video_Threat
Messaging,TCP,ACK,758,6.429333929782424,3854,Messaging_Normal
Messaging,UDP,SYN,1213,7.595849835949431,27144,Messaging_Threat
FileTransfer,TCP,FIN,565,5.009448638216107,67360,FileTransfer_Threat
FileTransfer,UDP,FIN,433,5.428213013147586,67012,FileTransfer_Anomaly
Web,UDP,FIN,270,9.515270811063251,8806,Web_Anomaly
Web,TCP,SYN,778,8.473201940112016,8994,Web_Normal
FileTransfer,TCP,SYN,1184,9.143222794355184,18137,FileTransfer_Normal
Messaging,TCP,SYN,1317,8.139525220312668,84086,Messaging_Normal
Video,ICMP,SYN,1459,1.0980942350488472,82042,Video_Anomaly
FileTransfer,TCP,FIN,1082,1.4984286411422452,51712,FileTransfer_Normal
Web,UDP,FIN,833,5.270971734716906,29825,Web_Normal
Messaging,TCP,ACK,48,2.4682358913920024,6026,Messaging_Normal
FileTransfer,ICMP,ACK,977,4.77218779566118,9596,FileTransfer_Anomaly
FileTransfer,TCP,SYN,496,3.9497095849453183,56547,FileTransfer_Threat
Messaging,ICMP,RST,337,5.498648241920229,29906,Messaging_Normal
FileTransfer,ICMP,RST,264,7.471288404196869,88299,FileTransfer_Threat
Messaging,TCP,FIN,767,7.157754161921751,41421,Messaging_Normal
Video,UDP,FIN,716,5.21712898352849,65195,Video_Threat
Messaging,ICMP,FIN,291,8.22571025398241,22756,Messaging_Anomaly
Messaging,TCP,ACK,1483,4.314312294464953,55247,Messaging_Anomaly
Messaging,TCP,ACK,1282,8.968175755502822,91496,Messaging_Normal
FileTransfer,UDP,FIN,396,0.7220898978510875,49766,FileTransfer_Threat
FileTransfer,ICMP,FIN,285,9.547053700032741,82468,FileTransfer_Anomaly
Messaging,ICMP,FIN,945,6.550383883499168,38887,Messaging_Normal
FileTransfer,TCP,RST,940,3.8069443442826807,63046,FileTransfer_Normal
Web,TCP,ACK,1402,1.9795697244630448,21827,Web_Anomaly
Web,UDP,RST,359,4.797040462141563,95181,Web_Anomaly
FileTransfer,UDP,RST,408,1.9536376486211569,68156,FileTransfer_Normal
FileTransfer,ICMP,FIN,596,1.6716527613539902,3181,FileTransfer_Threat
Messaging,ICMP,FIN,22,6.177344056555612,34296,Messaging_Threat
Video,TCP,SYN,1472,5.235616398572029,36835,Video_Threat
FileTransfer,ICMP,SYN,1185,6.704259385763307,80202,FileTransfer_Normal
Web,UDP,RST,395,9.296762715445672,79678,Web_Anomaly
Messaging,UDP,ACK,343,5.327279531257012,25598,Messaging_Normal
FileTransfer,TCP,FIN,165,5.813511212095349,76965,FileTransfer_Anomaly
Web,UDP,FIN,312,0.9053671281578718,31756,Web_Threat
Web,UDP,RST,451,7.179181501227209,67795,Web_Threat
Video,UDP,SYN,724,4.0050530159735205,38000,Video_Anomaly
Messaging,UDP,ACK,968,9.767485134239163,84999,Messaging_Anomaly
Messaging,TCP,SYN,604,8.233508415800646,47801,Messaging_Normal
Video,TCP,SYN,418,5.229585594756022,19133,Video_Threat
Video,ICMP,SYN,836,1.2409943151799387,10905,Video_Normal
Messaging,UDP,SYN,1387,8.595563774873085,35951,Messaging_Normal
Messaging,ICMP,FIN,983,7.9998131432859765,26932,Messaging_Normal
FileTransfer,TCP,FIN,1183,1.8540054440749596,63537,FileTransfer_Threat
FileTransfer,TCP,SYN,206,2.9598301093108974,14044,FileTransfer_Normal
Video,TCP,ACK,80,7.936138508896895,19973,Video_Normal
FileTransfer,TCP,RST,958,1.8604321810086226,40472,FileTransfer_Normal
Web,TCP,ACK,1423,9.17834736682206,89564,Web_Normal
FileTransfer,TCP,ACK,729,4.251028977711655,15479,FileTransfer_Normal
FileTransfer,TCP,ACK,826,0.8795192362507098,36851,FileTransfer_Normal
Web,UDP,SYN,1483,8.159328948607767,89922,Web_Threat
Video,ICMP,FIN,1362,3.741361733553492,5210,Video_Normal
Web,TCP,ACK,1345,5.269726949596272,54441,Web_Anomaly
FileTransfer,UDP,SYN,1387,1.1319204006680796,12187,FileTransfer_Normal
Video,UDP,ACK,30,0.035814308301374026,23862,Video_Normal
FileTransfer,ICMP,ACK,1105,6.3834722058750435,82717,FileTransfer_Threat
Web,TCP,SYN,245,5.156599951633979,9696,Web_Threat
Web,ICMP,FIN,1196,5.93945030554024,18413,Web_Anomaly
FileTransfer,TCP,FIN,583,7.939501065301358,66649,FileTransfer_Anomaly
Messaging,UDP,RST,791,6.469593075094372,23805,Messaging_Threat
Messaging,UDP,SYN,1353,1.755986693845498,67464,Messaging_Threat
Web,UDP,RST,904,3.6141174659148922,73545,Web_Normal
Web,UDP,RST,1286,9.059852136829726,78745,Web_Threat
